file_content,document_type,label
"Invoice
Order ID: 10943
Customer ID: BSBEV
Order Date: 2018-03-11
Customer Details:
Contact Name:
Victoria Ashworth
Address:
Fauntleroy Circus
City:
London
Postal Code:
EC2 5NT
Country:
UK
Phone:
(171) 555-1212
Fax:
None
Product Details:
Product ID
Product Name
Quantity
Unit Price
13
Konbu
15
6.0
22
Gustaf's Knäckebröd
21
21.0
46
Spegesild
15
12.0
 
 
TotalPrice
711.0
Page 1
",Invoices,0
"Order ID: 10477
Shipping Details:
Ship Name: Princesa Isabel Vinhos
Ship Address: Estrada da saúde n. 58
Ship City: Lisboa
Ship Region: Southern Europe
Ship Postal Code: 1756
Ship Country: Portugal
Customer Details:
Customer ID: PRINI
Customer Name: Princesa Isabel Vinhos
Employee Details:
Employee Name: Steven Buchanan
Shipper Details:
Shipper ID: 2
Shipper Name: United Package
Order Details:
Order Date: 2017-03-17
Shipped Date: 2017-03-25
Products:
--------------------------------------------------------------------------------------------------
Product: Chai
Quantity: 15
Unit Price: 14.4
Total: 216.0
--------------------------------------------------------------------------------------------------
Product: Sir Rodney's Scones
Quantity: 21
Unit Price: 8.0
Total: 168.0
--------------------------------------------------------------------------------------------------
Product: Chartreuse verte
Quantity: 20
Unit Price: 14.4
Total: 288.0
Total Price:
Total Price: 672.0
",Shipping Orders,2
"Invoice
Order ID: 10772
Customer ID: LEHMS
Order Date: 2017-12-10
Customer Details:
Contact Name:
Renate Messner
Address:
Magazinweg 7
City:
Frankfurt a.M.
Postal Code:
60528
Country:
Germany
Phone:
069-0245984
Fax:
069-0245874
Product Details:
Product ID
Product Name
Quantity
Unit Price
29
Thüringer Rostbratwurst
18
123.79
59
Raclette Courdavault
25
55.0
 
 
TotalPrice
3603.2200000000003
Page 1
",Invoices,0
"Invoice
Order ID: 10623
Customer ID: FRANK
Order Date: 2017-08-07
Customer Details:
Contact Name:
Peter Franken
Address:
Berliner Platz 43
City:
München
Postal Code:
80805
Country:
Germany
Phone:
089-0877310
Fax:
089-0877451
Product Details:
Product ID
Product Name
Quantity
Unit Price
14
Tofu
21
23.25
19
Teatime Chocolate Biscuits
15
9.2
21
Sir Rodney's Scones
25
10.0
24
Guaraná Fantástica
3
4.5
35
Steeleye Stout
30
18.0
 
 
TotalPrice
1429.75
Page 1
",Invoices,0
"Invoice
Order ID: 10935
Customer ID: WELLI
Order Date: 2018-03-09
Customer Details:
Contact Name:
Paula Parente
Address:
Rua do Mercado, 12
City:
Resende
Postal Code:
08737-363
Country:
Brazil
Phone:
(14) 555-8122
Fax:
None
Product Details:
Product ID
Product Name
Quantity
Unit Price
1
Chai
21
18.0
18
Carnarvon Tigers
4
62.5
23
Tunnbröd
8
9.0
 
 
TotalPrice
700.0
Page 1
",Invoices,0
"Invoice
Order ID: 10274
Customer ID: VINET
Order Date: 2016-08-06
Customer Details:
Contact Name:
Paul Henriot
Address:
59 rue de l'Abbaye
City:
Reims
Postal Code:
51100
Country:
France
Phone:
26.47.15.10
Fax:
26.47.15.11
Product Details:
Product ID
Product Name
Quantity
Unit Price
71
Flotemysost
20
17.2
72
Mozzarella di Giovanni
7
27.8
 
 
TotalPrice
538.6
Page 1
",Invoices,0
"Invoice
Order ID: 10527
Customer ID: QUICK
Order Date: 2017-05-05
Customer Details:
Contact Name:
Horst Kloss
Address:
Taucherstraße 10
City:
Cunewalde
Postal Code:
01307
Country:
Germany
Phone:
0372-035188
Fax:
None
Product Details:
Product ID
Product Name
Quantity
Unit Price
4
Chef Anton's Cajun Seasoning
50
22.0
36
Inlagd Sill
30
19.0
 
 
TotalPrice
1670.0
Page 1
",Invoices,0
"Order ID: 10567
Shipping Details:
Ship Name: Hungry Owl All-Night Grocers
Ship Address: 8 Johnstown Road
Ship City: Cork
Ship Region: British Isles
Ship Postal Code: None
Ship Country: Ireland
Customer Details:
Customer ID: HUNGO
Customer Name: Hungry Owl All-Night Grocers
Employee Details:
Employee Name: Nancy Davolio
Shipper Details:
Shipper ID: 1
Shipper Name: Speedy Express
Order Details:
Order Date: 2017-06-12
Shipped Date: 2017-06-17
Products:
--------------------------------------------------------------------------------------------------
Product: Gorgonzola Telino
Quantity: 60
Unit Price: 12.5
Total: 750.0
--------------------------------------------------------------------------------------------------
Product: Manjimup Dried Apples
Quantity: 3
Unit Price: 53.0
Total: 159.0
--------------------------------------------------------------------------------------------------
Product: Raclette Courdavault
Quantity: 40
Unit Price: 55.0
Total: 2200.0
Total Price:
Total Price: 3109.0
",Shipping Orders,2
"Invoice
Order ID: 10372
Customer ID: QUEEN
Order Date: 2016-12-04
Customer Details:
Contact Name:
Lúcia Carvalho
Address:
Alameda dos Canàrios, 891
City:
Sao Paulo
Postal Code:
05487-020
Country:
Brazil
Phone:
(11) 555-1189
Fax:
None
Product Details:
Product ID
Product Name
Quantity
Unit Price
20
Sir Rodney's Marmalade
12
64.8
38
Côte de Blaye
40
210.8
60
Camembert Pierrot
70
27.2
72
Mozzarella di Giovanni
42
27.8
 
 
TotalPrice
12281.2
Page 1
",Invoices,0
"Order ID: 11041
Shipping Details:
Ship Name: Chop-suey Chinese
Ship Address: Hauptstr. 31
Ship City: Bern
Ship Region: Western Europe
Ship Postal Code: 3012
Ship Country: Switzerland
Customer Details:
Customer ID: CHOPS
Customer Name: Chop-suey Chinese
Employee Details:
Employee Name: Janet Leverling
Shipper Details:
Shipper ID: 2
Shipper Name: United Package
Order Details:
Order Date: 2018-04-22
Shipped Date: 2018-04-28
Products:
--------------------------------------------------------------------------------------------------
Product: Chang
Quantity: 30
Unit Price: 19.0
Total: 570.0
--------------------------------------------------------------------------------------------------
Product: Vegie-spread
Quantity: 30
Unit Price: 43.9
Total: 1317.0
Total Price:
Total Price: 1887.0
",Shipping Orders,2
"Order ID: 10783
Shipping Details:
Ship Name: Hanari Carnes
Ship Address: Rua do Paço, 67
Ship City: Rio de Janeiro
Ship Region: South America
Ship Postal Code: 05454-876
Ship Country: Brazil
Customer Details:
Customer ID: HANAR
Customer Name: Hanari Carnes
Employee Details:
Employee Name: Margaret Peacock
Shipper Details:
Shipper ID: 2
Shipper Name: United Package
Order Details:
Order Date: 2017-12-18
Shipped Date: 2017-12-19
Products:
--------------------------------------------------------------------------------------------------
Product: Gorgonzola Telino
Quantity: 10
Unit Price: 12.5
Total: 125.0
--------------------------------------------------------------------------------------------------
Product: Côte de Blaye
Quantity: 5
Unit Price: 263.5
Total: 1317.5
Total Price:
Total Price: 1442.5
",Shipping Orders,2
"Order ID: 10613
Shipping Details:
Ship Name: HILARION-Abastos
Ship Address: Carrera 22 con Ave. Carlos Soublette #8-35
Ship City: San Cristóbal
Ship Region: South America
Ship Postal Code: 5022
Ship Country: Venezuela
Customer Details:
Customer ID: HILAA
Customer Name: HILARION-Abastos
Employee Details:
Employee Name: Margaret Peacock
Shipper Details:
Shipper ID: 2
Shipper Name: United Package
Order Details:
Order Date: 2017-07-29
Shipped Date: 2017-08-01
Products:
--------------------------------------------------------------------------------------------------
Product: Konbu
Quantity: 8
Unit Price: 6.0
Total: 48.0
--------------------------------------------------------------------------------------------------
Product: Rhönbräu Klosterbier
Quantity: 40
Unit Price: 7.75
Total: 310.0
Total Price:
Total Price: 358.0
",Shipping Orders,2
"Purchase Orders
Order ID
Order Date
Customer Name
10614
2017-07-29
Hanna Moos
Products
Product ID:
Product:
Quantity:
Unit Price:
11
Queso Cabrales
14
21
21
Sir Rodney's Scones
8
10
39
Chartreuse verte
5
18
Page 1
",Purchase Orders,1
"Purchase Orders
Order ID
Order Date
Customer Name
10471
2017-03-11
Victoria Ashworth
Products
Product ID:
Product:
Quantity:
Unit Price:
7
Uncle Bob's Organic Dried Pears
30
24
56
Gnocchi di nonna Alice
20
30.4
Page 1
",Purchase Orders,1
"Invoice
Order ID: 10971
Customer ID: FRANR
Order Date: 2018-03-24
Customer Details:
Contact Name:
Carine Schmitt
Address:
54, rue Royale
City:
Nantes
Postal Code:
44000
Country:
France
Phone:
40.32.21.21
Fax:
40.32.21.20
Product Details:
Product ID
Product Name
Quantity
Unit Price
29
Thüringer Rostbratwurst
14
123.79
 
 
TotalPrice
1733.0600000000002
Page 1
",Invoices,0
"Invoice
Order ID: 10334
Customer ID: VICTE
Order Date: 2016-10-21
Customer Details:
Contact Name:
Mary Saveley
Address:
2, rue du Commerce
City:
Lyon
Postal Code:
69004
Country:
France
Phone:
78.32.54.86
Fax:
78.32.54.87
Product Details:
Product ID
Product Name
Quantity
Unit Price
52
Filo Mix
8
5.6
68
Scottish Longbreads
10
10.0
 
 
TotalPrice
144.8
Page 1
",Invoices,0
